Name,City,Experience,Employment,Salary
Технический директор,Обнинск,От 1 года до 3 лет,Полная занятость,200000
Python-разработчик,Ростов-на-Дону,От 3 до 6 лет,Полная занятость,150000
Сетевой инженер по тестированию (Python),Санкт-Петербург,От 1 года до 3 лет,Полная занятость,150000
Менеджер IT проекта,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,190000
Python-разработчик (Инженер-программист)(01050-1),,От 1 года до 3 лет,Полная занятость,90000
Data Analytics,Ташкент,От 1 года до 3 лет,Полная занятость,192500.0
Junior+\middle fullstack-разработчик,Ярославль,От 1 года до 3 лет,Полная занятость,150000.0
Программист Python,Минск,От 1 года до 3 лет,Полная занятость,1900.0
Инженер по тестированию,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,90000.0
Python разработчик,Москва,От 3 до 6 лет,Полная занятость,220000
Backend разработчик (Python),Казань,От 1 года до 3 лет,Полная занятость,145000.0
Специалист ИТ (системный аналитик),Петропавловск-Камчатский,От 3 до 6 лет,Полная занятость,95000
Python backend разработчик,Екатеринбург,От 1 года до 3 лет,Полная занятость,110000.0
Инженер-программист (Направление – разработка приложений) | Frontend разработчик,Краснодар,От 1 года до 3 лет,Полная занятость,34000.0
Backend Разработчик,,От 1 года до 3 лет,Полная занятость,90000
Программист-разработчик,Москва,Нет опыта,Полная занятость,110000.0
Backend-developer / Backend-разработчик (в офис),Новокузнецк,От 1 года до 3 лет,Полная занятость,115000.0
Веб-разработчик,Санкт-Петербург,От 3 до 6 лет,Полная занятость,100000
Программист,Ярославль,Нет опыта,Частичная занятость,29000.0
Специалист технической поддержки (python),Москва,От 1 года до 3 лет,Полная занятость,100000.0
Разработчик Python,Москва,От 3 до 6 лет,Полная занятость,230000
Python разработчик (middle),Москва,От 1 года до 3 лет,Полная занятость,120000.0
Backend Python - разработчик (Middle/Senior),Санкт-Петербург,От 1 года до 3 лет,Полная занятость,200000.0
Python developer,Алматы,От 1 года до 3 лет,Полная занятость,325000.0
Инженер-теплотехник / Инженер программист (Python),Екатеринбург,Нет опыта,Полная занятость,40000
Инженер - программист (начинающий специалист),Екатеринбург,Нет опыта,Полная занятость,50000
Программист-разработчик,Москва,От 3 до 6 лет,Полная занятость,215000.0
Программист 1C,Шымкент,От 3 до 6 лет,Полная занятость,385000.0
Junior Full stack разработчик,Симферополь,Нет опыта,Полная занятость,75000.0
Python developer,Санкт-Петербург,От 3 до 6 лет,Полная занятость,140000.0
"Middle / Senior Back-end Developer (Ruby On Rails, удалённо)",Москва,От 3 до 6 лет,Полная занятость,300000.0
Тестировщик ПО,,От 3 до 6 лет,Полная занятость,155000.0
Ведущий программист 1С,городской округ Нижний Новгород,Более 6 лет,Полная занятость,340550.0
Инженер-программист,Актау,От 3 до 6 лет,Полная занятость,350000.0
Middle разработчик,Новочеркасск,От 1 года до 3 лет,Полная занятость,100000
Разработчик БПЛА,Москва,От 1 года до 3 лет,Полная занятость,215000.0
Бизнес ассистент IT,Москва,От 1 года до 3 лет,Полная занятость,70000
"Fresh Graduate - Junior Data Analysis (based in Beijing, China)",Beijing,Нет опыта,Полная занятость,145600.0
Data Engineering Intern / Стажер дата-инженер,Москва,Нет опыта,Стажировка,90000
Системный инженер / Junior DevOps,,От 1 года до 3 лет,Полная занятость,130500
Junior Python-разработчик в области AI/ML,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,100000
Программист-стажер,Киров,Нет опыта,Стажировка,65000.0
Разработчик ML,Москва,От 1 года до 3 лет,Полная занятость,200000
Инженер-программист,Новосибирск,От 1 года до 3 лет,Полная занятость,100000
