Name,City,Experience,Employment,Salary
Руководитель отдела разработки,Москва,От 3 до 6 лет,Полная занятость,300000.0
"Senior JavaScript/TypeScript Developer (AdTech, рекламные коды)",Санкт-Петербург,От 3 до 6 лет,Полная занятость,386750.0
Старший разработчик Python (Senior Python developer),Москва,Более 6 лет,Полная занятость,250000
Web QA Engineer,Алматы,От 1 года до 3 лет,Полная занятость,1025000.0
Back-End разработчик на C# и .net core,Москва,От 3 до 6 лет,Полная занятость,285000.0
Архитектор Python,Москва,От 3 до 6 лет,Полная занятость,400000
Программист,Санкт-Петербург,От 3 до 6 лет,Полная занятость,150000
Разработчик React Native (junior+/middle),Екатеринбург,От 1 года до 3 лет,Полная занятость,95000.0
Middle developer (программист PHP),Алматы,От 1 года до 3 лет,Полная занятость,450000
DevOps-инженер,Челябинск,От 1 года до 3 лет,Полная занятость,80000.0
Специалист по продажам / Sales Account Manager with knowledge of Eurpean Language,Бишкек,Нет опыта,Полная занятость,59150
Golang Blockhain developer,Ростов-на-Дону,От 1 года до 3 лет,Полная занятость,100000
Back End Engineer (Golang) for QuantumSoft,Томск,От 1 года до 3 лет,Полная занятость,275000.0
Инженер-разработчик,Санкт-Петербург,От 1 года до 3 лет,Частичная занятость,200000.0
Backend Development / Golang (In-office),Омск,От 1 года до 3 лет,Полная занятость,80000
BackEnd Developer (PHP),Москва,От 1 года до 3 лет,Полная занятость,240000
Backend разработчик PHP,Пермь,От 3 до 6 лет,Полная занятость,120000
Разработчик Python (backend),Зеленоград,От 3 до 6 лет,Полная занятость,270000.0
Android Developer (junior+/middle),,От 1 года до 3 лет,Полная занятость,95000.0
Веб-разработчик,Москва,От 1 года до 3 лет,Полная занятость,100000.0
Go-разработчик,Санкт-Петербург,От 1 года до 3 лет,Полная занятость,180000
Инженер-программист,Таганрог,От 1 года до 3 лет,Полная занятость,105000.0
Backend-разработчик,Санкт-Петербург,От 3 до 6 лет,Полная занятость,364000.0
Sales manager in Game development,,От 1 года до 3 лет,Полная занятость,100100.0
Backend web developer,Алматы,От 1 года до 3 лет,Полная занятость,650000.0
Regional Marketing Manager – Moscow,Москва,От 3 до 6 лет,Полная занятость,182000.0
Software Development Manager,Белград,От 3 до 6 лет,Полная занятость,673400.0
Ведущий VOIP инженер,Москва,От 3 до 6 лет,Полная занятость,200000
Junior Разработчик C#,Кемерово,Нет опыта,Полная занятость,109000
Backend/Fullstack-разработчик,Самара,От 1 года до 3 лет,Полная занятость,80000.0
Junior/Junior+ PHP Разработчик (Junior/Junior+ PHP Backend Developer),Москва,От 1 года до 3 лет,Полная занятость,100000
Backend Go разработчик,Самара,От 3 до 6 лет,Полная занятость,300000
BackEnd Developer GO,Москва,От 1 года до 3 лет,Полная занятость,180000
Backend разработчик,Москва,От 3 до 6 лет,Полная занятость,150000
Backend разработчик программист developer,Курган,От 1 года до 3 лет,Полная занятость,40000.0
Системный администратор Linux,Воронеж,От 3 до 6 лет,Полная занятость,140000
Маркетолог,Королёв,От 1 года до 3 лет,Полная занятость,90000
Разработчик GO,Москва,От 3 до 6 лет,Полная занятость,200000.0
PHP-программист,Санкт-Петербург,От 3 до 6 лет,Полная занятость,115000.0
Golang Developer (Уфа),Уфа,От 3 до 6 лет,Полная занятость,239750.0
Разработчик PHP/Разработчик Битрикс,Москва,От 1 года до 3 лет,Полная занятость,150000
Системный администратор,Москва,От 1 года до 3 лет,Полная занятость,220000
Разработчик Go (backend),Москва,От 1 года до 3 лет,Полная занятость,450000
Middle / Senior Python/Go developer,Ульяновск,От 3 до 6 лет,Полная занятость,140000.0
